Title,Director,Cast,Genre,Combined
The Cock-Tale,Joshua Ojo,Ronke Ojo Olaniyi Afonja Lanre Hassan Saheed Balogun,Comedy Drama,Ronke Ojo Olaniyi Afonja Lanre Hassan Saheed Balogun Joshua Ojo Comedy Drama
Handicapped,Seun Arowojolu,Valerie Udemba Rotimi Salami Kunle Idowu Chimezie Imo,Drama Documentary,Valerie Udemba Rotimi Salami Kunle Idowu Chimezie Imo Seun Arowojolu Drama Documentary
Who's the boss,Naz Onuzo,Funke Akindele Blossom Chukwujekwu Segun Arinze Ini Dima-Okojie,Romance Comedy,Funke Akindele Blossom Chukwujekwu Segun Arinze Ini Dima-Okojie Naz Onuzo Romance Comedy
Unroyal,Moses Inwang,Shaffy Bello Blossom Chukwujekwu IK Ogbonna Linda Osifo,Contemporary Royal Drama,Shaffy Bello Blossom Chukwujekwu IK Ogbonna Linda Osifo Moses Inwang Contemporary Royal Drama
Mama Drama,Seyi Babatope,Osas Ighodaro Kehinde Bankole Kunle Remi Shaffy Bello,Comedy Drama,Osas Ighodaro Kehinde Bankole Kunle Remi Shaffy Bello Seyi Babatope Comedy Drama
Our Jesus Story,Tchidi Chikere,Eucharia Anunuobi Zack Orji Sam Dede,Thriller,Eucharia Anunuobi Zack Orji Sam Dede Tchidi Chikere Thriller
Soft Work,Darasen Richards,Frank Donga Akin Lewis Shaffy Bello Sanni Mu Alexx Ekubo IK Ogbonna,Action Drama,Frank Donga Akin Lewis Shaffy Bello Sanni Mu Alexx Ekubo IK Ogbonna Darasen Richards Action Drama
Fate of Alakada: The Party Planner,Kayode Kasum,Toyin Abraham Mercy Eke Broda Shaggi,Action Comedy,Toyin Abraham Mercy Eke Broda Shaggi Kayode Kasum Action Comedy
Kakanfo,David Dida Tella,Bimbo Oshin Antar Laniyan Dele Odule,Adventure Drama,Bimbo Oshin Antar Laniyan Dele Odule David Dida Tella Adventure Drama
This Lady Called Life,Kayode Kasum,Bisola Aiyeola Efa Iwara,Drama,Bisola Aiyeola Efa Iwara Kayode Kasum Drama
Rise of the Saints,Samuel O . Olateru,Deyemi Okanlawon Rachel Oniga Tina Mba,Drama,Deyemi Okanlawon Rachel Oniga Tina Mba Samuel O . Olateru Drama
