Title,Director,Cast,Genre
Chief Daddy 2: Going for Broke,John Demps,Funke Akindele-Bello Nkem Owoh Patience Ozokwo Zainab Balogun Shaffy Bello,Comedy
Over Her Dead Body,Sola Osofisan,Nse Ikpe Etim Binta Ayo Mogaji Uche Mac-Auley Patrick Fakoya Gregory Ojefua,Comedy drama
Juju Stories,C.J. ObasiAbba Makama Michael Omonua,Paul Utomi Timini Egbuson Adebukola Oladipupo Uzoamaka Aniunoh Michael Ejoor,Horror Drama
Dinner At My Place,Kevin Apaa,Timini Egbuson Sophie Alakija Bisola Aiyeola,Comedy Romance
Head Over Bills,Dabby Chimere,Shaffy Bello Bimbo Ademoye Racheal Okonkwo Uzor Arukwe Mofe Duncan,Romance Drama
King of Thieves (Ogundabede),Adebayo Tijani and Tope Adebayo Salami,Toyin AbrahamFemi Adebayo Salami Odunlade Adekola Ibrahim Chatta Adedimeji Lateef,Drama
The Blood Covenant,Fiyin Gambo,Tobi Bakre Shawn Faqua Uzor Arukwe Erica Nlewedim Alexx Ekubo,Drama Thriller
The Set Up 2,Naz Onuzo,Adesua Etomi Nancy Isime Kehinde Bankole,Crime Thriller
Anikulapo,Kunle Afolayan,Bimbo Ademoye Kunle Remi Hakeem Kae-Kazim Sola Sobowale Taiwo Hassan Daithia Balogun Oga Bello Yinka Quadri,Drama Fantasy
