Title,Director,Cast,Genre
Day of Destiny,Akay Mason Abosi Ogba,Olumide Oworu Denola Grey Norbert Young Toyin Abraham Jide Kosoko,Sci-Fi Advenure Comedy
The Miracle Centre,Niyi Towolawi,Odunalade Adekola Femi Adebayo Ayo Mogaji Yemi Sodimu Afeez 'Saka' Oyetoro,Comedy
Tanwa Savage,Geshin Salvador,Segun Arinze Timini Egbuson Bimbo Ademoye Linda Osifo,Comedy Drama
The Cleanser,James Abinibi,Kehinde Bankole Bolanle Ninalowo Alex Osifo Antar Laniyan,Thriller
Sanitation Day,Seyi Babatope,Blossom Chukwujekwu Elozonam Nse Ikpe Etim Elvina Ibru,Comedy Thriller
Namaste Wahala,Hamisha Daryani Ahuja,Ini Dima-Okojie Richard Mofe-Damijo Joke Silva Jude Abaga,Romance Comedy Musical
Still Falling,Karachi Atiya and Dimbo Atiya,Daniel Etim Effiong Sharon Ooja Kunle Remi Liz Ameye,Drama Romance
Fine Wine,Seyi Babatope,Richard Mofe Damijo Zainab Balogun Ego Nwosu Keppy Ekpenyong,Romance Drama Comedy
Ponzi,Kayode Kasum,Timini Egbuson Uzoamaka Aniunoh Jide Kosoko Mawuli Gavor,Comedy
Under the Carpet,Tope Alake,Iyabo Ojo Deyemi Okanlawon Femi Jacobs.,Romance Drama
Eagle Wings,Paul Apel Papel,Femi Jacobs Enyinna Nwigwe Yakubu Mohammed Uzee Usman,War
Mamba's Diamond,Seyi Babatope,Osas Ighodaro Gabriel Afolayan Uchemba Williams Nse Ikpe-Etim,Action Comedy
La Femme Anjola,Mildred Okwo,Nonso Bassey Joke Silva Rita Dominic Femi Jacobs,Thriller Crime Drama
The Razz Guy,Udoka Onyeka,Nancy Isime Lasisi Elenu Broda Shaggi MC Lively,Comedy
The Therapist,Kayode Kasum,Rita Dominic Michelle Dede Toyin Abraham Shaffy Bello Tope Tedela,Drama Romance Comedy
Prophetess,Niyi Akinmolayan,Toyin Abraham Lateef Adedimeji Muyiwa Ademola Tina Mba,Comedy Drama
Breaded Life,Biodun Stephen,Timini Egbuson Bimbo Ademoye Tina Mba Jide Kosoko,Romance Comedy Drama Fantasy
Eyimofe,Ari and Chuko Esiri,Jude Akuwudike Temi Ami-Williams Cynthia Ebijie Sadiq Daba,Drama
The Wait,Yemi Morafa,Nse Ikpe Etim Deyemi Okanlawon Jimmy Odukoya Chimezie Imo,Drama Faith
Suga Suga,Richard Omos,Taiwo Obileye Ayo Adesanya Tana Adelana Wole Ojo,Comedy Cime
Mimi,Samuel Olatunji,Ali Baba Ireti Doyle Toyin Abraham Prince Jide Kosoko Bimbo Akintola,Romance Comedy
Lockdown,Moses Inwang,Omotola Jalade-Ekeinde Tony Umez Charles Awurum Sola Sobowale Nobert Young,Action Thriller Crime
My Village People,Niyi Akinmolayan,Bovi Ugboma Nkem Owoh Amaechi Muonagor Charles Inojie Rachael Oniga,Comedy
The New Patriots,Terry Ayebo,Akin Lewis Dele Odule Bimbo Oshin Taiwo Ibikunle Lateef Adedimeji,Politics Thriller
Badamasi,Obi Emelonye,Enyinna Nwigwe Charles Inojie Sani Danja Yakubu Mohammed,History Biopic
Dwindle,Kayode Kasum Dare Olaitan,Funke Akindele-Bello Bisola Aiyeola Jidekene Achufusi Samuel Perry Uzor Arukwe,Comedy
Ayinla,Tunde Kelani,Lateef Adedimeji Bimbo Manuel Ade Laoye Kunle Afolayan Bimbo Ademoye,Music Biopic History
Devil In Agbada,Umanu Elijah,Erica Nlewedim Linda Osifo Efe Irele,Action
Gone,Daniel Ademinokan,Sam Dede Gabriel Afolayan Stella Damasus Ada Ameh Bimbo Manuel,Drama
Loving Rona,Luke Aire Oyovbaire,Meg Otanwa Gideon Okeke Jeffbankz Nweke,Romance
The Ghost and the Tout Too,Michael 'Ama Psalmist' Akinrogunde,Mercy Johnson-Okojie Patience Ozokwo Iyabo Ojo Odunlade Adekola,Drama Comedy
Love Castle,Desmond Eliott,Kehinde Bankole Jide Kosoko Zack Orji Desmond Elliot Femi Adebayo Salami,Family Drama
Charge and Bail,Uyoyou Adia,Zainab Balogun Stan Nze Elozonam Ogbolu Folu Storms Eso Dike,Comedy Drama
Progressive Tailors Club,Biodun Stephen,Femi Adebayo Salami Jaiye Kuti Rachel Oniga Uzor Arukwe,Politics Satire Comedy
Soole,Kayode Kasum,Sola Sobowale Adedimeji Lateef Femi Jacob Adunni Ade Shawn Faqua,Comedy Drama
A Naija Christmas,Kunle Afolayan,Rachel Oniga Abayomi Alvin Efa Iwara Kunle Remi,Comedy Romance
Aki and Pawpaw,Biodun Stephen,Chinedu Ikedieze Osita Iheme Amaechi Muonagor Toyin Abraham Chioma Okafor,Comedy Drama
Christmas in Miami,Robert Peters,AY Makun Richard Mofe-Damijo Osita Iheme John Amos.,Comedy
Superstar,Akhigbe Illozhobie,Nancy Isime Deyemi Okanlawon Timini Egbuson Daniel Etim Effiong Eku Edewor,Romance Comedy
