Title,Director,Cast,Genre
The Royal Hibiscus Hotel,Ishaya Bako,Zainab Balogun Kenneth Okolie Deyemi Okanlawon Joke Silva Olu Jacobs Jide Kosoko,Romance Comedy
American Driver,Moses Inwang,Evan King Jim Iyke Nse Ikpe Etim Ayo Makun Emma Nyra Nadia Buari,Comedy
Sudani from Nigeria,Zakariya,Soubin Shahir Samuel Abiola Robinson,Comedy Drama Family
Sobi's Mystic,Biodun Stephen,Bolaji Ogunmola Kunle Remi Mofe Duncan,Drama
Lotanna,Toka McBaror,Liz Benson Victor Olaotan Chris Okagbue Ama Abebrese,Drama
Isoken,Jadesola Osiberu,Dakore Akande Joseph Benjamin Funke Akindele Marc Rhys,Romance Comedy Drama
10 Days in Sun City,Adze Ugha,Ayo Makun Adesuwa Etomi Richard Mofe-Damijo Mercy Johnson 2Baba,Romance Action Comedy
Christmas Is Coming,Ufuoma McDermott,Chioma Chukwuka Deyemi Okanlawon Zack Orji Mary Lazarus,Romance Comedy
The Wedding Party 2,Niyi Akinmolayan,Sola Sobowale Patience Ozokwor Adesua Etomi Banky Wellington,Romance Comedy
