Title,Director,Cast,Genre
Elephant in the Room,Asurf Oluseyi,Ramsey Nouah Zainab Sheriff,Romance Comedy
Beyond Blood,Greg Odutayo,Kehinde Bankole Joseph Benjamin Bimbo Manuel Carol King Shan George,Romance Drama
Love is in the Hair,Ansa Kpokpogri,Uti Nwachukwu Bishop Ime Toyin Aimakhu Okey Bakassi,Romance Comedy
Couple of Days,Lord Tanner,Lilian Esoro Kiki Omeili Adesua Etomi Ademola Adedoyin,Romance Comedy
Suru L'ere,Mildred Okwo,Beverly Naya Seun Akindele Kemi Lala Tope Tedela,Comedy Drama
93 Days,Steve Gukas,Bimbo Akintola Danny Glover Bimbo Manuel Tim Reid,Documentary Drama
The CEO,Kunle Afolayan,Kemi Lala Akindoju Hilda Dokubo Jimmy Jean-Louis,Drama
Ghana Must Go,Frank Rajah Arase,Yvonne Okoro Blossom Chukwujekwu Nkem Owoh Ik Ogbonna Ada Ameh,Drama
The Wedding Party,Kemi Adetiba,Adesua Etomi Banky Wellington Richard Mofe Damijo Sola Sobowale Iretiola Doyle Alibaba Akporobrome Zainab Balogun Beverly Naya,Romance Comedy Drama
